序号,英文,词意,序号,英文,词意
1,habit,n. 习惯，习性,68,history,n. 历史，历史学
2,hair,n. 头发,69,hit, n.& vt. 打，撞，击中
3,haircut,n. （男子）理发,70,hobby,n. 业余爱好，嗜好
4,half,a.& n. 半，一半，半个,71,hold, vt.拿，抱，握住，举行，进行
5,hall,n. 大厅，会堂，礼堂，过道,72,hole,n. 洞，坑
6,ham,n. 火腿,73,holiday,n. 假日，假期
7,hamburger,n. 汉堡包,74,home,n. 家 ad. 到家，回家
8,hammer,n. 锤子，锣锤,75,homeland,n. 祖国
9,hand,n. 手，指针v.递，给，交付 交上，交进,76,hometown,n. 故乡
10,handbag,n. 女用皮包，手提包,77,homework,n. 家庭作业
11,handful,n.（一）把， 少数，少量,78,honest,a. 诚实的，正直的
12,handkerchief,n. 手帕,79,honey,n. 蜂蜜
13,handle,vi.操作，操控；,80,honour/honor,n. 荣誉，光荣 vt. 尊敬，给予荣誉
14,handsome,a. 英俊的,81,hope,n.& v. 希望
15,handwriting,n. 书法,82,hopeful,a. 有希望的，有前途的
16,hang,v. 处（人）绞刑，上吊,83,hopeless,a.没有希望的，不可救药的
17,hung,hung)v.悬挂，吊着，把……吊起,84,horse,n. 马
18,happen,vi. （偶然）发生,85,hospital,n. 医院
19,happiness,n.幸福,86,host,n. 主人，节目主持人 v. 做主人招待
20,happy,a. 幸福的，快乐的，高兴的,87,hot,a. 热的
21,harbour/harbor,n. 港口,88,hotel,n. 旅馆，饭店，宾馆
22,hard,ad. 努力地，使劲，猛烈地 a.硬的，困难的，艰难的,89,hour,n. 小时
23,hardly,ad. 几乎不,90,house,n. 房子，住宅
24,hardship,n.困难,91,housewife,n. 家庭主妇
25,hardworking,a. 努力工作的,92,housework,n. 家务劳动
26,harm,n.&v.伤害，损伤,93,how,ad. 怎样，如何，多少，多么
27,harmful,a.有害的，致伤的,94,however,ad. 可是 conj. 然而，可是，尽管如此
28,harmony,n.和谐,95,howl,vt. 嚎叫
29,harvest,n.& vt. 收割，收获（物）,96,hug,v/n 拥抱，紧抱
30,hat,n. 帽子(一般指有边的)，礼帽,97,huge,a. 巨大的，庞大的
31,hate,vt.& n. 恨，讨厌,98,human,n.人，人类
32,have, vt.有，吃，喝，进行，经受,99,humor,"n. 幽默, 幽默感"
33,he,pron. 他,100,hundred,num. 百
34,head,n. 头，头脑(像)，才智，首脑，源头，标题 a. 头部的，主要的，首席的 v. 率领，加标题，用头顶，出发，(船等)驶向,101,hunger,n.饥饿
35,headache,n.头疼,102,hungry,a.（饥）饿的
36,headline,n. （报刊的）大字标题,103,hunt,vt. 寻找，狩猎，猎取
37,headmaster,n.（英）中小学校长,104,hurricane,飓风，十二级风; 飓风般猛烈的东西
38,health,n. 健康，卫生,105,hurry,vi. 赶快，急忙
39,healthy,a. 健康的，健壮的,106,hurt, vt. 伤害，受伤，伤人感情
40,hear," v. 听见，听说,得知",107,husband,n. 丈夫
41,heart,n. 心，心脏，纸牌中的红桃,108,hydrogen,n.氢
42,heat,n. 热 vt. 把……加热,109,I,pron. 我
43,heaven,n. 天，天空,110,ice,n.冰
44,heavy,a. 重的,111,ice-cream,n.冰淇淋
45,heel,n. 脚后跟,112,idea,n. 主意，意见，打算，想法
46,height,n. 高，高度,113,identification,n.鉴定，识别；验明；身份证明
47,helicopter,n. 直升飞机,114,identify,v. .鉴定，识别；验明
48,hello,喂，你好,115,idiom,n. 习语，成语
49,helmet,n. 头盔,116,if,conj. 如果，假使，是否，是不是
50,help,n. & vt. 帮助，帮忙,117,ignore,v 忽视
51,helpful,a. 有帮助的，有益的,118,ill,a. 有病的，不健康的
52,her,"pron. 她(宾格),她的",119,illegal,a.非法的
53,herb,n.草，草本植物；药草,120,illness,n. 疾病
54,here,ad. 这里，在这里，向这里,121,imagine,vt. 想像，设想
55,hero,n.英雄，勇士，男主角,122,immediate,a. 立即的，马上
56,hers,pron. 她的（名词性物主代词）,123,immediately,ad.立即
57,herself,pron. 她自己,124,immigration,n.移民
58,hesitate,vi.犹豫,125,import,v.& n.进口，输入
59,hi,嗨,126,importance,n. 重要性
60,hide,v. 把……藏起来，隐藏,127,important,a. 重要的
61,high,a. 高的，高度的 ad. 高地,128,impossible,a. 不可能的
62,highway,n. 公路,129,impress,vt.留下极深的印象
63,hill,n. 小山，丘陵，土堆，斜坡,130,impression,n. 印象，感觉
64,him,pron. 他（宾格）,131,improve,vt. 改善，提高
65,himself,pron. 他自己,132,in,prep.在……里(内)，在……，以…… ad.在家，在内，向内
66,hire,vt. 租用,133,inch,n. 英寸
67,his,他的,,,
